service_id,date,exception_type
"454_64877","20170909","1"
"454_64877","20170911","1"
"454_64877","20170912","1"
"454_64877","20170913","1"
"454_64877","20170914","1"
"454_64878","20170905","1"
"454_64878","20170906","1"
"454_64878","20170907","1"
"454_64878","20170908","1"
"454_64878","20170909","1"
"454_64878","20170911","1"
"454_64878","20170912","1"
"454_64878","20170913","1"
"454_64878","20170914","1"
"454_64879","20170915","1"
"454_64879","20170916","1"
"454_64879","20170918","1"
"454_64879","20170919","1"
"454_64879","20170920","1"
"454_64879","20170921","1"
"454_64879","20170922","1"
"454_64879","20170923","1"
"454_64879","20170925","1"
"454_64879","20170926","1"
"454_64879","20170927","1"
"454_64879","20170928","1"
"454_64879","20170929","1"
"454_64879","20170930","1"
"454_64879","20171002","1"
"454_64879","20171003","1"
"454_64879","20171004","1"
"454_64879","20171005","1"
"454_64879","20171006","1"
"454_64879","20171007","1"
"454_64879","20171009","1"
"454_64879","20171010","1"
"454_64879","20171011","1"
"454_64879","20171012","1"
"454_64879","20171013","1"
"454_64879","20171014","1"
"454_64879","20171016","1"
"454_64879","20171017","1"
"454_64879","20171018","1"
"454_64879","20171019","1"
"454_64879","20171020","1"
"454_64879","20171021","1"
"454_64879","20171023","1"
"454_64879","20171024","1"
"454_64879","20171025","1"
"454_64879","20171026","1"
"454_64879","20171027","1"
"454_64879","20171028","1"
"454_64879","20171030","1"
"454_64879","20171031","1"
"454_64879","20171102","1"
"454_64879","20171103","1"
"454_64879","20171104","1"
"454_64879","20171106","1"
"454_64879","20171107","1"
"454_64879","20171108","1"
"454_64879","20171109","1"
"454_64879","20171110","1"
"454_64879","20171111","1"
"454_64879","20171113","1"
"454_64879","20171114","1"
"454_64879","20171115","1"
"454_64879","20171116","1"
"454_64879","20171117","1"
"454_64879","20171118","1"
"454_64879","20171120","1"
"454_64879","20171121","1"
"454_64879","20171122","1"
"454_64879","20171123","1"
"454_64879","20171124","1"
"454_64879","20171125","1"
"454_64879","20171127","1"
"454_64879","20171128","1"
"454_64879","20171129","1"
"454_64879","20171130","1"
"454_64879","20171201","1"
"454_64879","20171202","1"
"454_64879","20171204","1"
"454_64879","20171205","1"
"454_64879","20171206","1"
"454_64879","20171207","1"
"454_64879","20171209","1"
"454_64879","20171211","1"
"454_64879","20171212","1"
"454_64879","20171213","1"
"454_64879","20171214","1"
"454_64879","20171215","1"
"454_64879","20171216","1"
"454_64879","20171218","1"
"454_64879","20171219","1"
"454_64879","20171220","1"
"454_64879","20171221","1"
"454_64879","20171222","1"
"454_64879","20171223","1"
"454_64879","20171227","1"
"454_64879","20171228","1"
"454_64879","20171229","1"
"454_64879","20171230","1"
"454_64879","20180102","1"
"454_64879","20180103","1"
"454_64879","20180104","1"
"454_64879","20180105","1"
"454_64879","20180108","1"
"454_64879","20180109","1"
"454_64879","20180110","1"
"454_64879","20180111","1"
"454_64879","20180112","1"
"454_64879","20180113","1"
"454_64879","20180115","1"
"454_64879","20180116","1"
"454_64879","20180117","1"
"454_64879","20180118","1"
"454_64879","20180119","1"
"454_64879","20180120","1"
"454_64879","20180122","1"
"454_64879","20180123","1"
"454_64879","20180124","1"
"454_64879","20180125","1"
"454_64879","20180126","1"
"454_64879","20180127","1"
"454_64879","20180129","1"
"454_64879","20180130","1"
"454_64879","20180131","1"
"454_64879","20180201","1"
"454_64879","20180202","1"
"454_64879","20180203","1"
"454_64879","20180205","1"
"454_64879","20180206","1"
"454_64879","20180207","1"
"454_64879","20180208","1"
"454_64879","20180209","1"
"454_64879","20180210","1"
"454_64879","20180212","1"
"454_64879","20180213","1"
"454_64879","20180214","1"
"454_64879","20180215","1"
"454_64879","20180216","1"
"454_64879","20180217","1"
"454_64879","20180219","1"
"454_64879","20180220","1"
"454_64879","20180221","1"
"454_64879","20180222","1"
"454_64879","20180223","1"
"454_64879","20180224","1"
"454_64879","20180226","1"
"454_64879","20180227","1"
"454_64879","20180228","1"
"454_64879","20180301","1"
"454_64879","20180302","1"
"454_64879","20180303","1"
"454_64879","20180305","1"
"454_64879","20180306","1"
"454_64879","20180307","1"
"454_64879","20180308","1"
"454_64879","20180309","1"
"454_64879","20180310","1"
"454_64879","20180312","1"
"454_64879","20180313","1"
"454_64879","20180314","1"
"454_64879","20180315","1"
"454_64879","20180316","1"
"454_64879","20180317","1"
"454_64879","20180319","1"
"454_64879","20180320","1"
"454_64879","20180321","1"
"454_64879","20180322","1"
"454_64879","20180323","1"
"454_64879","20180324","1"
"454_64879","20180326","1"
"454_64879","20180327","1"
"454_64879","20180328","1"
"454_64879","20180329","1"
"454_64879","20180330","1"
"454_64879","20180331","1"
"454_64879","20180403","1"
"454_64879","20180404","1"
"454_64879","20180405","1"
"454_64879","20180406","1"
