stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
"10000","Premilcuore Capolinea","43.976116676976","11.7760138055235","0",""
"1001","Ribolle","44.205403657869","12.0290253726341","0",""
"10011","Rocchetta","43.9785332584485","11.7780582080696","0",""
"10012","Rocchetta","43.9789548610772","11.778815045976","0",""
"1002","Ribolle","44.2051673272804","12.0287074083911","0",""
"10021","Case Popolari","43.9808942799797","11.7835819635095","0",""
"10022","Case Popolari","43.9811279666182","11.7836443348477","0",""
"10031","Case Nuove","43.9840949728534","11.7853557203215","0",""
"10032","Case Nuove","43.9842927206846","11.7852995112991","0",""
"10041","Piane","43.9871003428142","11.7893424655901","0",""
"10042","Piane","43.9871665567558","11.7894881963317","0",""
"10051","Peretola","43.9939081550922","11.7985963001911","0",""
"10052","Peretola","43.9939213375028","11.7981502948088","0",""
"10061","Vigne Nuove","43.9973038600734","11.8051376547423","0",""
"10062","Vigne Nuove","43.9973005058431","11.8049535383174","0",""
"10071","Bivio Ontaneta","44.0020920698686","11.8142510598426","0",""
"10072","Bivio Ontaneta","44.0020568019587","11.8136499138789","0",""
"10082","Chiesa S.Tomé","44.2629319187895","12.0224506858628","0",""
"10091","Cantina Di Sotto","44.0093026512718","11.8237226278414","0",""
"10092","Cantina Di Sotto","44.0092774466961","11.8236270883022","0",""
"101","Biondo","44.2210707461937","12.0433888615286","0",""
"10101","Canetole","44.0153695094136","11.8342406721244","0",""
"10102","Canetole","44.0154663961323","11.8343271676155","0",""
"1011","Anna Frank","44.2072482136672","12.0303567294422","0",""
"10111","Bivio Montalto","44.0183385105894","11.8441869084604","0",""
"10112","Bivio Montalto","44.0184038412464","11.8441845693779","0",""
"1012","Anna Frank","44.2070108428332","12.0299933132989","0",""
"10121","Ponte Fantella","44.0212573103546","11.8499138021901","0",""
"10122","Ponte Fantella","44.0213713724014","11.8502584895185","0",""
"10131","Lughera","44.020367165459","11.8692994984916","0",""
"10132","Lughera","44.0205081996433","11.8694864430131","0",""
"10141","Strada S.Zeno","44.0226066806416","11.8800926244602","0",""
"10142","Strada S.Zeno","44.0225330885466","11.8797311303915","0",""
"10151","Frala","44.0274625151467","11.893118727173","0",""
"10152","Frala","44.0274405706038","11.8930076898528","0",""
"10161","Fabbretto","44.0365337132803","11.8974877062173","0",""
"10162","Fabbretto","44.0366790610174","11.8975252085896","0",""
"10171","S.Marina","44.0529944523915","11.9177977460043","0",""
"10172","S.Marina","44.0529247166721","11.9174440098803","0",""
"10181","Tontola I","44.0572863873204","11.9309650551314","0",""
"10182","Tontola I","44.0575217141327","11.9310258368068","0",""
"10191","Tontola Centro","44.058011007209","11.9395261742237","0",""
"10192","Tontola Centro","44.0581039258443","11.9390423071924","0",""
"10201","Cannovacchia","44.063915522654","11.9640416315583","0",""
"10202","Cannovacchia","44.0632265891763","11.9627056074748","0",""
"1021","Giardini","44.2117561768009","12.0335413036082","0",""
"10211","S.Savino","44.0659445941315","11.9686965101543","0",""
"10212","S.Savino","44.065908433123","11.9684207808003","0",""
"1022","Giardini","44.2107415228939","12.0326364827381","0",""
"10221","S.Savino Ponte","44.070545122605","11.9722856953705","0",""
"10222","S.Savino Ponte","44.0706631207442","11.9721409738799","0",""
"10231","Cimitero Predappio","44.0895577237265","11.9795597975105","0",""
"10232","Cimitero Predappio","44.0895073262565","11.9792051662407","0",""
"10241","Predappio Conad","44.0955414746899","11.9806959378116","0",""
"10242","Predappio Conad","44.0950757948767","11.9801056884722","0",""
"10251","Predappio Iv","44.0978481982989","11.9814607610157","0",""
"10252","Predappio Iv","44.0979680006136","11.9813121994775","0",""
"10260","Predappio Alta Piazza","44.0994358702943","11.9620176655178","0",""
"10270","Predappio","44.1034383096454","11.9814670815534","0",""
"10271","Predappio","44.1033944546293","11.9816811845278","0",""
"10272","Predappio","44.1021369607183","11.9813539946918","0",""
"10281","Predappio (Scuole)","44.1075035514226","11.9813865669793","0",""
"10282","Predappio (Scuole)","44.1081419669395","11.9811156815602","0",""
"10291","Predappio I","44.1128482067197","11.9790485094565","0",""
"10292","Predappio I","44.1126316082628","11.9788962520585","0",""
"10301","Trivella","44.1202080561307","11.9747999873882","0",""
"10302","Trivella","44.1200900991978","11.9747706431136","0",""
"1031","Acquaviva","44.2132029497309","12.0345520939617","0",""
"10311","Cimitero Fiumana","44.1391031582245","11.9822955271793","0",""
"10312","Cimitero Fiumana","44.1394548119933","11.9823179195473","0",""
"1032","Acquaviva","44.213005359626","12.0342383955063","0",""
"10321","Fiumana Monte","44.142762953471","11.9847022202427","0",""
"10322","Fiumana Monte","44.1433654040951","11.9851826901524","0",""
"10331","Fiumana","44.1453068192018","11.9874561164954","0",""
"10332","Fiumana","44.1452134567161","11.987088820583","0",""
"10341","S.Lorenzo","44.1587301197107","12.0036863667998","0",""
"10342","S.Lorenzo","44.1589651174975","12.0037795870316","0",""
"10351","S.Lorenzo Casa Popolo","44.1617616759097","12.0079658631989","0",""
"10352","S.Lorenzo Casa Popolo","44.1615408232524","12.0076349327425","0",""
"10361","Ponte Calanca","44.1650340982768","12.010360892857","0",""
"10362","Ponte Calanca","44.1661254305591","12.0110324292241","0",""
"10371","S.Savino I","44.0677105227805","11.9709371977488","0",""
"10372","S.Savino I","44.0676218578821","11.9706252918215","0",""
"10381","Tontola","44.0574575036879","11.9468957438314","0",""
"10382","Tontola","44.057537150009","11.9467748538009","0",""
"10391","Ghandi","44.1742657666997","12.038271759749","0",""
"10392","Ghandi","44.1742181460369","12.0384968259897","0",""
